feature,importance
elo_ratio,0.1450922
is_neutral,0.08165941
elo_diff,0.07168432
rank_diff,0.05507585
rank_ratio,0.048588593
h2h_gd,0.030175915
is_friendly,0.025642943
h2h_away_wins,0.025226863
h2h_draws,0.02432812
away_world_cup_titles_before,0.022155391
away_defence_rating,0.02151316
h2h_home_wins,0.021260025
away_form_avg_goals_conceded_10,0.020409375
h2h_meetings,0.01956408
rest_difference,0.018073665
home_form_win_rate_5,0.01773185
away_attack_rating,0.017671587
home_rest_days,0.01756653
home_form_win_rate_10,0.017555585
home_attack_rating,0.017489621
home_form_clean_sheet_rate_5,0.017432244
away_form_avg_goals_scored_10,0.01737521
is_world_cup,0.017347777
home_form_clean_sheet_rate_10,0.017066754
home_defence_rating,0.01704207
home_form_avg_goals_scored_10,0.016840497
away_form_avg_goals_conceded_5,0.016838554
home_form_avg_goals_conceded_10,0.016764823
away_form_avg_goals_scored_5,0.01674188
away_form_clean_sheet_rate_10,0.016679768
away_rest_days,0.016578788
home_form_avg_goals_conceded_5,0.016562017
away_form_win_rate_10,0.01650891
away_form_clean_sheet_rate_5,0.016459078
away_form_win_rate_5,0.016021548
home_form_avg_goals_scored_5,0.015446796
home_world_cup_titles_before,0.013828137
